N,Gp,mu,R(J/(K*g)),tau,g(m/s^2),beta,Betav1,Betav2,Betav3,T_irr(K),P_H(Pa),Gv1,Gv2,Gv3,Gamma1,Gamma2,sigma,P(Pa),Kappa(m^2/kg),T(K),rho,pkpt,pkpr,J1(W/m^2),J2(W/m^2),H1(W/m^2),H2(W/m^2),C1,C3,GAMMA_0,t_th
  45,0.874E+01,.57735E+00,  3522.881, 0.100E+00, 9.356,0.840,   0.33333,   0.33333,   0.33333,2010.4,0.200E+07,  26.37849,   4.12259,   0.17255,  10.28926,   0.17422,0.113E-02,0.227E+04,0.452E-03,.16508E+04,0.390E-03,   4.15991,  -0.00338,    0.1063502315E+06,    0.1935443673E+05,    0.1005246498E+05,    0.1083381929E+05,    0.2625432416E+06,    0.2944055304E+06,    0.6331265422E+06,    0.4770895292E+04
  46,0.874E+01,.57735E+00,  3522.881, 0.115E+00, 9.356,0.840,   0.33333,   0.33333,   0.33333,2010.4,0.200E+07,  26.37849,   4.12259,   0.17255,  10.28926,   0.17422,0.128E-02,0.257E+04,0.468E-03,.16637E+04,0.438E-03,   3.93677,  -0.00311,    0.1107819960E+06,    0.1943886261E+05,    0.9222808340E+04,    0.1082825739E+05,    0.2625432416E+06,    0.2944055304E+06,    0.5575428899E+06,    0.4500317320E+04
  47,0.874E+01,.57735E+00,  3522.881, 0.132E+00, 9.356,0.840,   0.33333,   0.33333,   0.33333,2010.4,0.200E+07,  26.37849,   4.12259,   0.17255,  10.28926,   0.17422,0.145E-02,0.290E+04,0.486E-03,.16778E+04,0.491E-03,   3.68598,  -0.00281,    0.1155299778E+06,    0.1953781982E+05,    0.8385965275E+04,    0.1081980345E+05,    0.2625432416E+06,    0.2944055304E+06,    0.4930498259E+06,    0.4231937933E+04
  48,0.874E+01,.57735E+00,  3522.881, 0.153E+00, 9.356,0.840,   0.33333,   0.33333,   0.33333,2010.4,0.200E+07,  26.37849,   4.12259,   0.17255,  10.28926,   0.17422,0.164E-02,0.329E+04,0.504E-03,.16928E+04,0.551E-03,   3.41377,  -0.00248,    0.1205679307E+06,    0.1965379814E+05,    0.7543760536E+04,    0.1080740722E+05,    0.2625432416E+06,    0.2944055304E+06,    0.4377491664E+06,    0.3973324410E+04
  49,0.874E+01,.57735E+00,  3522.881, 0.177E+00, 9.356,0.840,   0.33333,   0.33333,   0.33333,2010.4,0.200E+07,  26.37849,   4.12259,   0.17255,  10.28926,   0.17422,0.186E-02,0.372E+04,0.522E-03,.17083E+04,0.618E-03,   3.12678,  -0.00214,    0.1258499018E+06,    0.1978959515E+05,    0.6704415474E+04,    0.1078978219E+05,    0.2625432416E+06,    0.2944055304E+06,    0.3899951495E+06,    0.3729675485E+04
  50,0.874E+01,.57735E+00,  3522.881, 0.205E+00, 9.356,0.840,   0.33333,   0.33333,   0.33333,2010.4,0.200E+07,  26.37849,   4.12259,   0.17255,  10.28926,   0.17422,0.210E-02,0.420E+04,0.541E-03,.17241E+04,0.692E-03,   2.83140,  -0.00178,    0.1313129242E+06,    0.1994834005E+05,    0.5882385440E+04,    0.1076538695E+05,    0.2625432416E+06,    0.2944055304E+06,    0.3484196151E+06,    0.3503898369E+04
  51,0.874E+01,.57735E+00,  3522.881, 0.238E+00, 9.356,0.840,   0.33333,   0.33333,   0.33333,2010.4,0.200E+07,  26.37849,   4.12259,   0.17255,  10.28926,   0.17422,0.238E-02,0.476E+04,0.559E-03,.17400E+04,0.776E-03,   2.53340,  -0.00141,    0.1368837039E+06,    0.2013352530E+05,    0.5096404030E+04,    0.1073240902E+05,    0.2625432416E+06,    0.2944055304E+06,    0.3119100712E+06,    0.3297009289E+04
  52,0.874E+01,.57735E+00,  3522.881, 0.277E+00, 9.356,0.840,   0.33333,   0.33333,   0.33333,2010.4,0.200E+07,  26.37849,   4.12259,   0.17255,  10.28926,   0.17422,0.269E-02,0.538E+04,0.577E-03,.17556E+04,0.870E-03,   2.23762,  -0.00104,    0.1424884474E+06,    0.2034904602E+05,    0.4366264693E+04,    0.1068874940E+05,    0.2625432416E+06,    0.2944055304E+06,    0.2795696530E+06,    0.3108626609E+04
  53,0.874E+01,.57735E+00,  3522.881, 0.322E+00, 9.356,0.840,   0.33333,   0.33333,   0.33333,2010.4,0.200E+07,  26.37849,   4.12259,   0.17255,  10.28926,   0.17422,0.304E-02,0.609E+04,0.595E-03,.17709E+04,0.976E-03,   1.94784,  -0.00068,    0.1480639931E+06,    0.2059924568E+05,    0.3709226787E+04,    0.1063200369E+05,    0.2625432416E+06,    0.2944055304E+06,    0.2506849695E+06,    0.2937416373E+04
  54,0.874E+01,.57735E+00,  3522.881, 0.374E+00, 9.356,0.840,   0.33333,   0.33333,   0.33333,2010.4,0.200E+07,  26.37849,   4.12259,   0.17255,  10.28926,   0.17422,0.344E-02,0.689E+04,0.613E-03,.17858E+04,0.109E-02,   1.66664,  -0.00031,    0.1535677635E+06,    0.2088896486E+05,    0.3136887268E+04,    0.1055943300E+05,    0.2625432416E+06,    0.2944055304E+06,    0.2247074985E+06,    0.2781457407E+04
