N,Gp,mu,R(J/(K*g)),tau,g(m/s^2),beta,Betav1,Betav2,Betav3,T_irr(K),P_H(Pa),Gv1,Gv2,Gv3,Gamma1,Gamma2,sigma,P(Pa),Kappa(m^2/kg),T(K),rho,pkpt,pkpr,J1(W/m^2),J2(W/m^2),H1(W/m^2),H2(W/m^2),C1,C3,GAMMA_0
  32,0.683E+01,.57735E+00,  3522.881, 0.774E-02,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83614,   8.70505,   0.20557,   8.28951,   0.20972,0.229E-03,0.457E+03,0.348E-03,.21490E+04,0.604E-04,  -5.26156,   0.00639,    0.1165087168E+06,    0.3334725774E+05,    0.4245254915E+05,    0.1902357603E+05,    0.4025630978E+06,    0.4533421321E+06,    0.6083452696E+07
  33,0.683E+01,.57735E+00,  3522.881, 0.933E-02,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83614,   8.70505,   0.20557,   8.28951,   0.20972,0.258E-03,0.517E+03,0.379E-03,.21062E+04,0.697E-04,  -4.67686,   0.00578,    0.1181361394E+06,    0.3336625026E+05,    0.4005775588E+05,    0.1901170746E+05,    0.4025630978E+06,    0.4533421321E+06,    0.5381641839E+07
  34,0.683E+01,.57735E+00,  3522.881, 0.113E-01,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83614,   8.70505,   0.20557,   8.28951,   0.20972,0.292E-03,0.585E+03,0.411E-03,.20604E+04,0.806E-04,  -4.01850,   0.00509,    0.1200155136E+06,    0.3338956158E+05,    0.3754143588E+05,    0.1899945227E+05,    0.4025630978E+06,    0.4533421321E+06,    0.4699185838E+07
  35,0.683E+01,.57735E+00,  3522.881, 0.137E-01,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83614,   8.70505,   0.20557,   8.28951,   0.20972,0.331E-03,0.662E+03,0.443E-03,.20139E+04,0.932E-04,  -3.30078,   0.00434,    0.1221548390E+06,    0.3341794080E+05,    0.3498706687E+05,    0.1898728539E+05,    0.4025630978E+06,    0.4533421321E+06,    0.4032257422E+07
  36,0.683E+01,.57735E+00,  3522.881, 0.165E-01,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83614,   8.70505,   0.20557,   8.28951,   0.20972,0.374E-03,0.748E+03,0.471E-03,.19697E+04,0.108E-03,  -2.55517,   0.00356,    0.1245467773E+06,    0.3345203131E+05,    0.3249110672E+05,    0.1897571673E+05,    0.4025630978E+06,    0.4533421321E+06,    0.3395871179E+07
  37,0.683E+01,.57735E+00,  3522.881, 0.199E-01,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83614,   8.70505,   0.20557,   8.28951,   0.20972,0.423E-03,0.847E+03,0.492E-03,.19308E+04,0.124E-03,  -1.82977,   0.00280,    0.1271722415E+06,    0.3349232928E+05,    0.3013657637E+05,    0.1896513588E+05,    0.4025630978E+06,    0.4533421321E+06,    0.2817607613E+07
  38,0.683E+01,.57735E+00,  3522.881, 0.238E-01,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83614,   8.70505,   0.20557,   8.28951,   0.20972,0.479E-03,0.958E+03,0.507E-03,.18997E+04,0.143E-03,  -1.17925,   0.00213,    0.1300102412E+06,    0.3353925532E+05,    0.2796885846E+05,    0.1895568125E+05,    0.4025630978E+06,    0.4533421321E+06,    0.2322176368E+07
  39,0.683E+01,.57735E+00,  3522.881, 0.284E-01,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83614,   8.70505,   0.20557,   8.28951,   0.20972,0.542E-03,0.108E+04,0.516E-03,.18772E+04,0.164E-03,  -0.64804,   0.00158,    0.1330474260E+06,    0.3359330519E+05,    0.2598903784E+05,    0.1894721234E+05,    0.4025630978E+06,    0.4533421321E+06,    0.1919420861E+07
  40,0.683E+01,.57735E+00,  3522.881, 0.335E-01,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83614,   8.70505,   0.20557,   8.28951,   0.20972,0.613E-03,0.123E+04,0.523E-03,.18627E+04,0.187E-03,  -0.25702,   0.00119,    0.1362810993E+06,    0.3365518113E+05,    0.2416549522E+05,    0.1893937802E+05,    0.4025630978E+06,    0.4533421321E+06,    0.1603378559E+07
  41,0.683E+01,.57735E+00,  3522.881, 0.395E-01,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83614,   8.70505,   0.20557,   8.28951,   0.20972,0.693E-03,0.139E+04,0.528E-03,.18547E+04,0.212E-03,  -0.00164,   0.00094,    0.1397155890E+06,    0.3372584689E+05,    0.2245264832E+05,    0.1893171450E+05,    0.4025630978E+06,    0.4533421321E+06,    0.1358668228E+07
