N,Gp,mu,R(J/(K*g)),tau,g(m/s^2),beta,Betav1,Betav2,Betav3,T_irr(K),P_H(Pa),Gv1,Gv2,Gv3,Gamma1,Gamma2,sigma,P(Pa),Kappa(m^2/kg),T(K),rho,pkpt,pkpr,J1(W/m^2),J2(W/m^2),H1(W/m^2),H2(W/m^2),C1,C3,GAMMA_0,t_th
  23,0.112E+02,.57735E+00,  3522.881, 0.440E-03, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.753E-04,0.151E+03,0.346E-04,.11517E+04,0.371E-04,  15.56672,  -0.01570,    0.2205853144E+05,    0.1135904313E+05,    0.1183638054E+05,    0.6587701075E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.7530468180E+07,    0.1835705657E+06
  24,0.112E+02,.57735E+00,  3522.881, 0.517E-03, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.852E-04,0.170E+03,0.362E-04,.11521E+04,0.420E-04,  15.56182,  -0.01568,    0.2209436808E+05,    0.1135930163E+05,    0.1183106837E+05,    0.6587781969E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.6653227351E+07,    0.1752483773E+06
  25,0.112E+02,.57735E+00,  3522.881, 0.608E-03, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.964E-04,0.193E+03,0.380E-04,.11525E+04,0.475E-04,  15.55535,  -0.01567,    0.2213682687E+05,    0.1135960805E+05,    0.1182477553E+05,    0.6587877758E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.5877531357E+07,    0.1670610941E+06
  26,0.112E+02,.57735E+00,  3522.881, 0.715E-03, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.109E-03,0.218E+03,0.398E-04,.11530E+04,0.537E-04,  15.54701,  -0.01565,    0.2218719014E+05,    0.1135997174E+05,    0.1181731251E+05,    0.6587991305E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.5191588958E+07,    0.1590245825E+06
  27,0.112E+02,.57735E+00,  3522.881, 0.843E-03, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.123E-03,0.247E+03,0.418E-04,.11536E+04,0.607E-04,  15.53645,  -0.01563,    0.2224699630E+05,    0.1136040392E+05,    0.1180845212E+05,    0.6588126034E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.4584976700E+07,    0.1511529329E+06
  28,0.112E+02,.57735E+00,  3522.881, 0.995E-03, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.140E-03,0.279E+03,0.440E-04,.11543E+04,0.686E-04,  15.52324,  -0.01560,    0.2231809167E+05,    0.1136091811E+05,    0.1179792190E+05,    0.6588286045E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.4048480519E+07,    0.1434583722E+06
  29,0.112E+02,.57735E+00,  3522.881, 0.118E-02, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.158E-03,0.316E+03,0.463E-04,.11551E+04,0.776E-04,  15.50691,  -0.01557,    0.2240269245E+05,    0.1136153060E+05,    0.1178539515E+05,    0.6588476238E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.3573955812E+07,    0.1359512040E+06
  30,0.112E+02,.57735E+00,  3522.881, 0.139E-02, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.179E-03,0.357E+03,0.488E-04,.11561E+04,0.877E-04,  15.48685,  -0.01554,    0.2250345905E+05,    0.1136226099E+05,    0.1177048017E+05,    0.6588702470E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.3154203822E+07,    0.1286397748E+06
  31,0.112E+02,.57735E+00,  3522.881, 0.165E-02, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.202E-03,0.404E+03,0.515E-04,.11573E+04,0.991E-04,  15.46237,  -0.01550,    0.2262358480E+05,    0.1136313295E+05,    0.1175270743E+05,    0.6588971733E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.2782862483E+07,    0.1215304649E+06
  32,0.112E+02,.57735E+00,  3522.881, 0.196E-02, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.229E-03,0.457E+03,0.544E-04,.11586E+04,0.112E-03,  15.43265,  -0.01545,    0.2276690170E+05,    0.1136417502E+05,    0.1173151450E+05,    0.6589292362E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.2454310045E+07,    0.1146277011E+06
